i: 0	xname: book_minask
i: 1	xname: book_mean(weighted_price_diff2)
i: 2	xname: book_mean(mid_price_diff2)
i: 3	xname: book_max(mid_price)
i: 4	xname: book_last_value(bid_price)
i: 5	xname: book_min(weighted_price)
i: 6	xname: book_sum(mid_price_diff2)
i: 7	xname: book_mean(mid_price_logreturn)
i: 8	xname: book_mean(weighted_price_logreturn)
i: 9	xname: book_stddev(mid_price_logreturn)
i: 10	xname: book_max(ask_price)
i: 11	xname: book_last_value(mid_price)
i: 12	xname: book_stddev(weighted_price_diff2)
i: 13	xname: book_first_value(weighted_price)
i: 14	xname: book_min(ask_price)
i: 15	xname: book_last_value(weighted_price)
i: 16	xname: book_stddev(mid_price_diff2)
i: 17	xname: book_sum(weighted_price_diff2)
i: 18	xname: book_maxbid
i: 19	xname: book_max(weighted_price)
i: 20	xname: book_first_value(bid_price)
i: 21	xname: book_first_value(mid_price)
i: 22	xname: book_min(spread)
i: 23	xname: book_max(bid_price)
i: 24	xname: book_first_value(spread)
i: 25	xname: book_min(mid_price)
i: 26	xname: book_last_value(spread)
i: 27	xname: book_min(bid_price)
i: 28	xname: book_first_value(ask_price)
i: 29	xname: book_stddev(weighted_price_logreturn)
i: 30	xname: book_last_value(ask_price)
i: 31	xname: book_max(spread)
i: 32	xname: orders_Number_of_Executed-type_Buy-side_at-touch-50-ticks
i: 33	xname: orders_Number_of_New-type_Buy-side_at-touch
i: 34	xname: orders_Number_of_None-type_None-side_at-touch-5-ticks
i: 35	xname: orders_Number_of_Executed-type_Buy-side_at-touch-5-ticks
i: 36	xname: orders_Number_of_Executed-type_None-side_at-touch-10-ticks
i: 37	xname: orders_Volume_of_Executed-type_Sell-side
i: 38	xname: orders_Number_of_Executed-type_None-side
i: 39	xname: orders_Volume_of_New-type_None-side_at-touch-5-ticks
i: 40	xname: orders_Number_of_Executed-type_Sell-side_at-touch-10-ticks
i: 41	xname: orders_Number_of_Cancelled-type_Sell-side
i: 42	xname: orders_Number_of_Executed-type_Sell-side
i: 43	xname: orders_Number_of_None-type_Buy-side_at-touch-5-ticks
i: 44	xname: orders_Volume_of_None-type_Sell-side_at-touch-50-ticks
i: 45	xname: orders_Volume_of_None-type_Sell-side
i: 46	xname: orders_Number_of_New-type_Buy-side
i: 47	xname: orders_Number_of_Executed-type_Sell-side_at-touch-50-ticks
i: 48	xname: orders_Number_of_Executed-type_Sell-side_at-touch-5-ticks
i: 49	xname: orders_Number_of_None-type_None-side
i: 50	xname: orders_Volume_of_New-type_None-side_at-touch-50-ticks
i: 51	xname: orders_Number_of_None-type_Buy-side_at-touch
i: 52	xname: orders_Volume_of_Executed-type_Sell-side_at-touch-50-ticks
i: 53	xname: orders_Volume_of_New-type_Sell-side_at-touch-10-ticks
i: 54	xname: orders_Volume_of_Executed-type_Buy-side_at-touch
i: 55	xname: orders_Volume_of_New-type_None-side_at-touch
i: 56	xname: orders_Number_of_None-type_None-side_at-touch-50-ticks
i: 57	xname: orders_Number_of_New-type_Buy-side_at-touch-50-ticks
i: 58	xname: orders_Volume_of_Executed-type_Buy-side
i: 59	xname: orders_Volume_of_New-type_Buy-side_at-touch-5-ticks
i: 60	xname: orders_Number_of_New-type_Buy-side_at-touch-5-ticks
i: 61	xname: orders_Volume_of_Cancelled-type_None-side
i: 62	xname: orders_Number_of_Cancelled-type_Buy-side
i: 63	xname: orders_Number_of_New-type_Sell-side_at-touch-5-ticks
i: 64	xname: orders_Number_of_New-type_Sell-side_at-touch
i: 65	xname: orders_Number_of_New-type_None-side_at-touch-5-ticks
i: 66	xname: orders_Number_of_New-type_None-side_at-touch
i: 67	xname: orders_Volume_of_New-type_Buy-side_at-touch-10-ticks
i: 68	xname: orders_Number_of_None-type_None-side_at-touch
i: 69	xname: orders_Volume_of_Executed-type_None-side
i: 70	xname: orders_Number_of_Executed-type_None-side_at-touch-50-ticks
i: 71	xname: orders_Volume_of_Executed-type_Buy-side_at-touch-50-ticks
i: 72	xname: orders_Volume_of_None-type_Buy-side_at-touch-10-ticks
i: 73	xname: orders_Number_of_New-type_Buy-side_at-touch-10-ticks
i: 74	xname: orders_Volume_of_Executed-type_None-side_at-touch-50-ticks
i: 75	xname: orders_Number_of_New-type_Sell-side_at-touch-10-ticks
i: 76	xname: orders_Volume_of_Executed-type_None-side_at-touch-10-ticks
i: 77	xname: orders_Volume_of_Executed-type_Buy-side_at-touch-10-ticks
i: 78	xname: orders_Volume_of_New-type_Buy-side
i: 79	xname: orders_Volume_of_Executed-type_Buy-side_at-touch-5-ticks
i: 80	xname: orders_Number_of_New-type_Sell-side
i: 81	xname: orders_Volume_of_Executed-type_Sell-side_at-touch-5-ticks
i: 82	xname: orders_Volume_of_None-type_Buy-side_at-touch-5-ticks
i: 83	xname: orders_Volume_of_New-type_None-side
i: 84	xname: orders_Volume_of_New-type_Sell-side_at-touch-5-ticks
i: 85	xname: orders_Volume_of_New-type_Sell-side_at-touch-50-ticks
i: 86	xname: orders_Volume_of_New-type_Buy-side_at-touch
i: 87	xname: orders_Volume_of_Cancelled-type_Sell-side
i: 88	xname: orders_Volume_of_New-type_None-side_at-touch-10-ticks
i: 89	xname: orders_Volume_of_New-type_Sell-side_at-touch
i: 90	xname: orders_Number_of_None-type_Buy-side
i: 91	xname: orders_Volume_of_Executed-type_Sell-side_at-touch
i: 92	xname: orders_Volume_of_None-type_None-side_at-touch
i: 93	xname: orders_Volume_of_Cancelled-type_Buy-side
i: 94	xname: orders_Volume_of_None-type_Buy-side
i: 95	xname: orders_Number_of_New-type_Sell-side_at-touch-50-ticks
i: 96	xname: orders_Volume_of_Executed-type_Sell-side_at-touch-10-ticks
i: 97	xname: orders_Number_of_Executed-type_Sell-side_at-touch
i: 98	xname: orders_Number_of_New-type_None-side_at-touch-10-ticks
i: 99	xname: orders_Volume_of_None-type_Sell-side_at-touch-5-ticks
